text,label,is_augmented
how to diagnose bronchiectasis?,diagnosis,
what are the symptoms of tracheal agenesis?,symptom,
is hereditary angioedema inherited?,genetics,
what are the symptoms of duane syndrome type 1?,symptom,
what are the genetic changes related to glucose-galactose malabsorption?,genetics,
"what is (are) poison ivy, oak and sumac?",definition,
what is (are) noonan syndrome 6?,definition,
what are the treatments for insomnia?,treatment,
what is (are) autoimmune polyglandular syndrome type 1?,definition,
what is the outlook for knee replacement?,definition,
what is (are) spastic diplegia cerebral palsy?,definition,
what are the treatments for mucopolysaccharidoses?,treatment,
how many people are affected by collagen vi-related myopathy?,general,
what are the symptoms of diabetic mastopathy?,symptom,
how many people are affected by hepatic lipase deficiency?,general,
what are the symptoms of cockayne syndrome type iii?,symptom,
what is (are) mitral valve prolapse?,definition,
how to diagnose holes in the heart?,diagnosis,
how many people are affected by 2-hydroxyglutaric aciduria?,general,
what are the genetic changes related to fabry disease?,genetics,
how many people are affected by multiple endocrine neoplasia?,general,
what are the treatments for heterotaxy syndrome?,treatment,
what is (are) nevoid basal cell carcinoma syndrome?,definition,
how many people are affected by legg-calv-perthes disease?,general,
is ren-related kidney disease inherited?,genetics,
what research (or clinical trials) is being done for syncope?,general,
who is at risk for coronary microvascular disease?,risk,
what are the treatments for arteriovenous malformation?,treatment,
what are the symptoms of bardet-biedl syndrome 11?,symptom,
what is (are) anemia of inflammation and chronic disease?,definition,
what are the symptoms of hereditary spherocytosis?,symptom,
what are the genetic changes related to rotor syndrome?,genetics,
what are the treatments for spondyloperipheral dysplasia?,treatment,
what are the symptoms of episodic ataxia with nystagmus?,symptom,
what is (are) ovarian small cell carcinoma?,definition,
what is (are) am i at risk for type 2 diabetes? taking steps to lower your risk of getting diabetes?,risk,
how many people are affected by acquired cystic kidney disease?,general,
what are the symptoms of nephrogenic diabetes insipidus?,symptom,
what causes 2q37 deletion syndrome?,cause,
what causes aplasia cutis congenita?,cause,
"what are the treatments for multicentric osteolysis, nodulosis, and arthropathy?",treatment,
what causes hashimoto's encephalitis?,cause,
is sandhoff disease inherited?,genetics,
what is (are) atelosteogenesis type 1?,definition,
how to prevent liver (hepatocellular) cancer?,general,
what is (are) gastroenteritis?,definition,
what are the stages of nasopharyngeal cancer?,definition,
what is the outlook for hypersomnia?,definition,
how many people are affected by alexander disease?,general,
do you have information about kidney transplantation,general,
what are the genetic changes related to boomerang dysplasia?,genetics,
what is (are) carpenter syndrome?,definition,
what are the symptoms of fukuyama type muscular dystrophy?,symptom,
what are the symptoms of jervell and lange-nielsen syndrome 2?,symptom,
what is (are) robinow syndrome?,definition,
what are the treatments for syringoma?,treatment,
what is (are) freeman sheldon syndrome?,definition,
what research (or clinical trials) is being done for fahr's syndrome?,general,
what is (are) bereavement?,definition,
what is (are) inflammatory myopathies?,definition,
what causes diarrhea?,cause,
what research (or clinical trials) is being done for rasmussen's encephalitis?,general,
what are the symptoms of holt-oram syndrome?,symptom,
is triosephosphate isomerase deficiency inherited?,genetics,
what are the genetic changes related to multiple epiphyseal dysplasia?,genetics,
is juvenile idiopathic arthritis inherited?,genetics,
what is (are) spinal cord diseases?,definition,
what are the symptoms of spermatogenesis arrest?,symptom,
what is (are) hypothalamic dysfunction?,definition,
what is (are) sudden cardiac arrest?,definition,
what are the treatments for hereditary sensory and autonomic neuropathy type ie?,treatment,
what is (are) familial adenomatous polyposis?,definition,
what are the treatments for spondylocarpotarsal synostosis syndrome?,treatment,
what causes proud syndrome?,cause,
what causes thrombocytopenia?,cause,
what are the symptoms of mitochondrial dna-associated leigh syndrome?,symptom,
what is (are) rotavirus infections?,definition,
what are the genetic changes related to mucopolysaccharidosis type i?,genetics,
what is (are) muscle eye brain disease?,definition,
what are the genetic changes related to bladder cancer?,genetics,
how to prevent pneumonia?,general,
what are the symptoms of idiopathic inflammatory myopathy?,symptom,
what is (are) landau-kleffner syndrome?,definition,
what are the symptoms of oculocutaneous albinism type 2?,symptom,
what are the treatments for x-linked infantile spasm syndrome?,treatment,
what is (are) neurogenic diabetes insipidus?,definition,
what is (are) benign schwannoma?,definition,
what is (are) spinal muscular atrophy?,definition,
what to do for vesicoureteral reflux?,general,
what is the outlook for muscular dystrophy?,definition,
do you have information about mental health,general,
what is (are) osteopetrosis autosomal dominant type 1?,definition,
is renal nutcracker syndrome inherited?,genetics,
what is the outlook for olivopontocerebellar atrophy?,definition,
is alg1-congenital disorder of glycosylation inherited?,genetics,
what are the genetic changes related to neonatal onset multisystem inflammatory disease?,genetics,
is hepatic encephalopathy inherited?,genetics,
who is at risk for deep vein thrombosis?,risk,
is laryngo-onycho-cutaneous syndrome inherited?,genetics,
what is (are) nonsyndromic holoprosencephaly?,definition,
what are the symptoms of iga nephropathy?,symptom,
what is (are) multiple pterygium syndrome escobar type?,definition,
is donohue syndrome inherited?,genetics,
what is (are) generalized pustular psoriasis?,definition,
what are the genetic changes related to prickle1-related progressive myoclonus epilepsy with ataxia?,genetics,
what is (are) hypocomplementemic urticarial vasculitis syndrome?,definition,
what are the treatments for primary hyperparathyroidism?,treatment,
what is (are) juvenile myoclonic epilepsy?,definition,
what are the treatments for perineal injury in males?,treatment,
how many people are affected by chylomicron retention disease?,general,
is walker-warburg syndrome inherited?,genetics,
what are the treatments for psoriasis?,treatment,
how many people are affected by hereditary spherocytosis?,general,
"is x-linked immunodeficiency with magnesium defect, epstein-barr virus infection, and neoplasia inherited?",genetics,
what are the symptoms of itch e3 ubiquitin ligase deficiency?,symptom,
how many people are affected by prickle1-related progressive myoclonus epilepsy with ataxia?,general,
what is (are) chromosome 1q41-q42 deletion syndrome?,definition,
what is (are) eczema?,definition,
what are the symptoms of image syndrome?,symptom,
what are the symptoms of osteogenesis imperfecta type iii?,symptom,
what research (or clinical trials) is being done for brown-sequard syndrome?,general,
what is (are) clostridium difficile infections?,definition,
what causes hallermann-streiff syndrome?,cause,
what are the treatments for familial idiopathic basal ganglia calcification?,treatment,
what is (are) primary spontaneous pneumothorax?,definition,
is gastrointestinal stromal tumor inherited?,genetics,
what is (are) osteogenesis imperfecta?,definition,
what are the symptoms of i cell disease?,symptom,
what are the symptoms of glaucoma sleep apnea?,symptom,
what is the outlook for sandhoff disease?,definition,
is enlarged parietal foramina inherited?,genetics,
what are the treatments for factor x deficiency?,treatment,
what is (are) kyrle disease?,definition,
how to diagnose bronchitis?,diagnosis,
is familial erythrocytosis inherited?,genetics,
what are the treatments for sepiapterin reductase deficiency?,treatment,
what causes multiple endocrine neoplasia type 1?,cause,
what are the genetic changes related to lattice corneal dystrophy type i?,genetics,
what are the genetic changes related to ocular albinism?,genetics,
is chmp2b-related frontotemporal dementia inherited?,genetics,
what is (are) psoriatic arthritis?,definition,
what causes iridocorneal endothelial syndrome?,cause,
how many people are affected by malonyl-coa decarboxylase deficiency?,general,
what is (are) cold urticaria?,definition,
what are the symptoms of weyers ulnar ray/oligodactyly syndrome?,symptom,
is congenital insensitivity to pain inherited?,genetics,
what causes urinary incontinence?,cause,
what are the symptoms of dyskeratosis congenita autosomal dominant?,symptom,
what are the treatments for dystrophic epidermolysis bullosa?,treatment,
how many people are affected by actin-accumulation myopathy?,general,
what is (are) nicolaides-baraitser syndrome?,definition,
what are the symptoms of succinic semialdehyde dehydrogenase deficiency?,symptom,
do you have information about asbestos,general,
what is (are) foot drop?,definition,
how to diagnose psoriasis?,diagnosis,
what is the outlook for syringomyelia?,definition,
what research (or clinical trials) is being done for pelizaeus-merzbacher disease?,general,
what are the genetic changes related to globozoospermia?,genetics,
what is (are) enlarged parietal foramina?,definition,
what are the symptoms of de barsy syndrome?,symptom,
what are the symptoms of osteopathia striata cranial sclerosis?,symptom,
what are the symptoms of gm1 gangliosidosis?,symptom,
what are the symptoms of pericarditis?,symptom,
what are the treatments for atherosclerosis?,treatment,
how many people are affected by thanatophoric dysplasia?,general,
what is the outlook for hairy cell leukemia?,definition,
what are the genetic changes related to primary spontaneous pneumothorax?,genetics,
what are the treatments for autosomal recessive congenital methemoglobinemia?,treatment,
do you have information about health literacy,general,
what are the symptoms of pseudohypoparathyroidism type 1c?,symptom,
what to do for foodborne illnesses?,general,
what are the genetic changes related to ulcerative colitis?,genetics,
is marinesco-sjgren syndrome inherited?,genetics,
what is (are) holes in the heart?,definition,
what is (are) lupus nephritis?,definition,
how many people are affected by dubin-johnson syndrome?,general,
what is (are) neurofibromatosis type 2?,definition,
what are the treatments for cystocele?,treatment,
what are the genetic changes related to intrahepatic cholestasis of pregnancy?,genetics,
is branchiooculofacial syndrome inherited?,genetics,
what are the symptoms of transient erythroblastopenia of childhood?,symptom,
what are the treatments for 2-hydroxyglutaric aciduria?,treatment,
what are the symptoms of renal tubular dysgenesis?,symptom,
what are the treatments for vernal keratoconjunctivitis?,treatment,
what is (are) fragile xe syndrome?,definition,
what research (or clinical trials) is being done for neuroleptic malignant syndrome?,general,
what causes sarcoidosis?,cause,
what causes cystic fibrosis?,cause,
what is (are) vitamin d-dependent rickets?,definition,
what are the treatments for ankyloblepharon-ectodermal defects-cleft lip/palate syndrome?,treatment,
is phosphoglycerate kinase deficiency inherited?,genetics,
what is (are) eales disease?,definition,
how many people are affected by androgenetic alopecia?,general,
is fibrodysplasia ossificans progressiva inherited?,genetics,
what are the symptoms of autosomal dominant intermediate charcot-marie-tooth disease type a?,symptom,
is congenital fiber-type disproportion inherited?,genetics,
what are the symptoms of achard syndrome?,symptom,
what are the symptoms of lattice corneal dystrophy type 3a?,symptom,
how many people are affected by factor v leiden thrombophilia?,general,
what are the treatments for schnitzler syndrome?,treatment,
what is (are) erectile dysfunction?,definition,
what is (are) prevent diabetes problems: keep your heart and blood vessels healthy?,definition,
what research (or clinical trials) is being done for brachial plexus injuries?,general,
what is (are) stargardt macular degeneration?,definition,
what causes dominant dystrophic epidermolysis bullosa?,cause,
what are the symptoms of autosomal dominant partial epilepsy with auditory features?,symptom,
what are the genetic changes related to glycogen storage disease type vii?,genetics,
how to diagnose tietz syndrome?,diagnosis,
what are the symptoms of macrocephaly-capillary malformation?,symptom,
is pdgfrb-associated chronic eosinophilic leukemia inherited?,genetics,
what are the treatments for kufs disease?,treatment,
what are the symptoms of keratosis follicularis spinulosa decalvans?,symptom,
what are the symptoms of lymphedema and cerebral arteriovenous anomaly?,symptom,
what is (are) leri weill dyschondrosteosis?,definition,
what is (are) netherton syndrome?,definition,
what is (are) mild cognitive impairment?,definition,
what are the treatments for gigantomastia?,treatment,
what is (are) primary myelofibrosis?,definition,
what are the genetic changes related to familial restrictive cardiomyopathy?,genetics,
what are the treatments for pineal cyst?,treatment,
what are the treatments for spinocerebellar ataxia type 2?,treatment,
what are the genetic changes related to cold-induced sweating syndrome?,genetics,
what is (are) spinal and bulbar muscular atrophy?,definition,
do you have information about exercise and physical fitness,general,
what causes bronchiectasis?,cause,
what is (are) neuronal ceroid lipofuscinosis 5?,definition,
what is the outlook for paroxysmal choreoathetosis?,definition,
how many people are affected by coffin-lowry syndrome?,general,
what are the symptoms of patent ductus arteriosus?,symptom,
how many people are affected by urinary tract infection in adults?,general,
what is (are) task-specific focal dystonia?,definition,
how to diagnose renal tubular acidosis?,diagnosis,
what causes heart disease in women?,cause,
how to diagnose parasites - fascioliasis (fasciola infection)?,diagnosis,
is autosomal dominant nocturnal frontal lobe epilepsy inherited?,genetics,
what is (are) barber say syndrome?,definition,
what are the symptoms of anonychia congenita?,symptom,
what are the genetic changes related to mucolipidosis iii gamma?,genetics,
what are the genetic changes related to autosomal recessive axonal neuropathy with neuromyotonia?,genetics,
is glutaric acidemia type ii inherited?,genetics,
how to diagnose hallermann-streiff syndrome?,diagnosis,
what are the genetic changes related to neuromyelitis optica?,genetics,
how many people are affected by tumor necrosis factor receptor-associated periodic syndrome?,general,
what are the genetic changes related to progressive familial heart block?,genetics,
what are the treatments for combined malonic and methylmalonic aciduria?,treatment,
what is (are) galactosialidosis?,definition,
how many people are affected by rheumatoid arthritis?,general,
who is at risk for wilms tumor and other childhood kidney tumors?,risk,
what is (are) cardiomyopathy?,definition,
"is 17 alpha-hydroxylase/17,20-lyase deficiency inherited?",genetics,
what are the symptoms of pinheiro freire-maia miranda syndrome?,symptom,
what are the symptoms of kienbock's disease?,symptom,
what is (are) adenylosuccinase deficiency?,definition,
what research (or clinical trials) is being done for familial periodic paralyses?,general,
"how many people are affected by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies?",general,
who is at risk for cardiogenic shock?,risk,
how many people are affected by myoclonic epilepsy myopathy sensory ataxia?,general,
what are the symptoms of dysequilibrium syndrome?,symptom,
what is (are) diabetes in children and teens?,definition,
how many people are affected by hypomyelination and congenital cataract?,general,
how many people are affected by phosphoglycerate dehydrogenase deficiency?,general,
is 8p11 myeloproliferative syndrome inherited?,genetics,
what is the outlook for kleine-levin syndrome?,definition,
what are the genetic changes related to miller syndrome?,genetics,
what research (or clinical trials) is being done for childhood liver cancer?,general,
who is at risk for childhood rhabdomyosarcoma?,risk,
what are the symptoms of minicore myopathy with external ophthalmoplegia?,symptom,
what are the symptoms of familial isolated hyperparathyroidism?,symptom,
what is (are) emphysema?,definition,
what is (are) gamma aminobutyric acid transaminase deficiency?,definition,
how to diagnose diverticular disease?,diagnosis,
how many people are affected by juvenile idiopathic arthritis?,general,
what is (are) abdominal wall defect?,definition,
what is (are) melnick-needles syndrome?,definition,
what is (are) bird flu?,definition,
what are the symptoms of protein c deficiency?,symptom,
is col4a1-related brain small-vessel disease inherited?,genetics,
what are the symptoms of insomnia?,symptom,
what are the symptoms of schindler disease type 1?,symptom,
how many people are affected by ocular albinism?,general,
what is (are) kuskokwim disease?,definition,
do you have information about gun safety,general,
do you have information about water pollution,general,
what research (or clinical trials) is being done for anencephaly?,general,
what are the symptoms of immune dysfunction with t-cell inactivation due to calcium entry defect 2?,symptom,
what is (are) sudden infant death syndrome?,definition,
what are the genetic changes related to thrombocytopenia-absent radius syndrome?,genetics,
what is the history of hps for hantavirus?,definition,
what causes diabetic neuropathies: the nerve damage of diabetes?,cause,
what are the genetic changes related to hand-foot-genital syndrome?,genetics,
what are the treatments for ring chromosome 14 syndrome?,treatment,
what are the symptoms of spastic paraplegia 19?,symptom,
what are the genetic changes related to meige disease?,genetics,
who is at risk for prostate cancer?,risk,
how many people are affected by fatty acid hydroxylase-associated neurodegeneration?,general,
how to diagnose peters plus syndrome?,diagnosis,
how many people are affected by isolated pierre robin sequence?,general,
what are the treatments for multiple myeloma?,treatment,
what are the symptoms of anterior segment mesenchymal dysgenesis?,symptom,
what are the treatments for 8p11 myeloproliferative syndrome?,treatment,
what research (or clinical trials) is being done for todd's paralysis?,general,
"is blepharophimosis, ptosis, and epicanthus inversus syndrome type 1 inherited?",genetics,
how to diagnose achalasia?,diagnosis,
how many people are affected by congenital generalized lipodystrophy?,general,
what are the genetic changes related to lamellar ichthyosis?,genetics,
who is at risk for carotid artery disease?,risk,
what is (are) neuronal migration disorders?,definition,
what are the symptoms of mucopolysaccharidosis type iv?,symptom,
how many people are affected by incontinentia pigmenti?,general,
what are the treatments for glucose-galactose malabsorption?,treatment,
what are the treatments for junctional epidermolysis bullosa?,treatment,
what are the symptoms of greig cephalopolysyndactyly syndrome?,symptom,
how many people are affected by pyruvate kinase deficiency?,general,
what are the treatments for eales disease?,treatment,
how to diagnose ovarian germ cell tumors?,diagnosis,
what are the symptoms of congenital adrenal hyperplasia?,symptom,
what is (are) barrett esophagus?,definition,
what to do for solitary kidney?,general,
what are the treatments for autosomal recessive congenital stationary night blindness?,treatment,
what are the symptoms of jensen syndrome?,symptom,
what are the treatments for brain and spinal tumors?,treatment,
is iron-refractory iron deficiency anemia inherited?,genetics,
how many people are affected by familial hemiplegic migraine?,general,
what are the symptoms of sjogren-larsson-like syndrome?,symptom,
what are the treatments for whipple's disease?,treatment,
is desmosterolosis inherited?,genetics,
how many people are affected by poland syndrome?,general,
what are the symptoms of chondrodysplasia acromesomelic with genital anomalies?,symptom,
how many people are affected by paroxysmal extreme pain disorder?,general,
is irak-4 deficiency inherited?,genetics,
how many people are affected by brooke-spiegler syndrome?,general,
is dicer1 syndrome inherited?,genetics,
what are the symptoms of pontocerebellar hypoplasia type 6?,symptom,
what are the symptoms of aquagenic pruritus?,symptom,
what is (are) multiple lentigines syndrome?,definition,
what are the symptoms of leber congenital amaurosis 16?,symptom,
is piebaldism inherited?,genetics,
what are the treatments for parasites - lice - body lice?,treatment,
what research (or clinical trials) is being done for multiple system atrophy with orthostatic hypotension?,general,
what is (are) amyopathic dermatomyositis?,definition,
what is the outlook for neurological consequences of cytomegalovirus infection?,definition,
what are the treatments for hanhart syndrome?,treatment,
